lang,label,sentence
en,ocp:play,i want to hear some tunes
en,ocp:play,play music now
en,ocp:play,make a jars of clay playlist for me
en,ocp:play,find new music from jars of clay for me
en,ocp:play,play my favorite pandora station
en,ocp:play,play music from my favorite pandora artist station
en,ocp:play,play music from a given artist
en,ocp:play,can you turn on pandora
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,show me a funny joke
en,ocp:play,play hotel california after this song
en,ocp:play,when this song ends play hotel california
en,ocp:play,after this song ends i want to hear hotel california next
en,ocp:play,play irene from tobymac
en,ocp:play,play irene from tobymac
en,ocp:play,i want to listen irene
en,ocp:play,look for irene and play it
en,ocp:play,play hopsin from my latest playlist
en,ocp:play,i want to hear metallica on my rock playlist
en,ocp:play,play the music of justin bieber
en,ocp:play,play me the latest song of adele
en,ocp:play,can you play the instrumentals of
en,ocp:play,can you play songs about break-ups
en,ocp:play,play my morning playlist
en,ocp:play,play the pre gaming playlist
en,ocp:play,play my dance music playlist
en,ovos-skill-hello-world.openvoiceos:Greetings.intent,how are you today
en,ovos-skill-hello-world.openvoiceos:Greetings.intent,good morning olly
en,ocp:play,play madonnas like a virgin
en,ocp:play,play the footloose song
en,ocp:play,play one thousand nine hundred and ninety nine by prince
en,ocp:play,gather all my songs from madonna
en,ocp:play,play kanye west playlist
en,ocp:play,play maroon five playlist
en,ocp:play,play the last album on a loop
en,ocp:play,play all my favorite songs
en,ocp:play,play my sadness playlist
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,tell funny things
en,ocp:play,please play all the songs in high volume and make adjustments to pop music mode
en,ocp:play,play all songs by martina mcbride
en,ocp:play,play i walk the line by johnny cash
en,ocp:play,play my playlist
en,ocp:play,play the song for me
en,ocp:play,put a disco track
en,ocp:play,play a melody music
en,ocp:play,olly i need to hear notorious thugs by bone thugs now
en,ocp:play,play rein in blood by slayer at five am tomorrow to make sure i actually wake up
en,ocp:play,i'd love to hear any song that i've given five stars by serge gainsbourg
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,say something funny
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,olly say something funny
en,ocp:play,play lady now
en,ocp:play,play imagine dragons
en,ocp:play,please play nightmare by avenged sevenfold
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,find a joke in your vault and tell me
en,ocp:play,i want to listen arijit's songs please tune that
en,ocp:play,play music for me
en,ocp:play,play a song of your choice for me
en,ocp:play,play old classic music
en,ocp:play,try to play old nineties classic music
en,ocp:play,get set need me music track
en,ocp:play,play ride music track
en,ocp:play,play music on shuffle
en,ovos-skill-hello-world.openvoiceos:Greetings.intent,hey olly what's up
en,ocp:play,play music by taylor swift
en,ocp:play,play taylor swift
en,ocp:play,play taylor swift music
en,ocp:play,please play some jazz
en,ocp:play,what are the top twenty jazz hits
en,ocp:play,make a playlist of all songs of justin bibber and play with shuffle
en,ocp:play,play the latest song of eminem
en,ocp:play,download the latest folk songs having rating of four star or above and play all without shuffle
en,ocp:play,play all indie pop songs
en,ocp:play,play music of kate perry without shuffle
en,ocp:play,play kiss from a rose
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,what is the highest rated joke today
en,ocp:play,play anything from metallica
en,ocp:play,play the last song from my most recent playlist
en,ocp:play,play jazz from jennifer's latest album
en,ocp:play,play the new record of malika
en,ocp:play,i would like to listen to celine dion
en,ocp:play,play some tracks by michael jackson
en,ocp:play,play country music
en,ocp:play,play some boy band music
en,ocp:play,play songs by nkotb
en,ocp:play,i want to listen to george strait
en,ocp:play,let's listen to some jazz
en,ocp:play,lets listen to the playlist
en,ocp:play,shuffle and play the playlist
en,ocp:play,put on some techno music please
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,tell me a good doctor joke
en,ocp:play,i wan to play me a justin bieber song
en,ocp:play,play me some melody song
en,ocp:play,play music from v. t. v.
en,ocp:play,play songs from titanic
en,ocp:play,play list of music from avatar
en,ocp:play,select and play only christian rock from one thousand nine hundred and ninety upwards
en,ocp:play,only christian rock from one thousand nine hundred and ninety upwards is to be selected and played
en,ocp:play,christian rock from one thousand nine hundred and ninety upwards only should be selected and played
en,ocp:play,all music released between one thousand nine hundred and ninety and two thousand is only to played
en,ocp:play,between one thousand nine hundred and ninety and two thousand music album is only to be played
en,ocp:play,i want to find some good rock music
en,ocp:play,play the rock music for me
en,ocp:play,i want to hear country music
en,ocp:play,change the genre from rock to classic
en,ocp:play,play all songs by anirudh
en,ocp:play,play all rock songs
en,ocp:play,play all songs from playlist favorite
en,ocp:play,please play the next song
en,ocp:play,play do re mi
en,ocp:play,play i love you and then next happy
en,ocp:play,please play the song joy to the world
en,ovos-skill-hello-world.openvoiceos:Greetings.intent,good afternoon how are you
en,ocp:play,play favorite music
en,ocp:play,reshuffle and play music
en,common_query:common_query,what is the gross domestic product of us
en,ocp:play,play the song i didn't hear from last month
en,ocp:play,start music in playlist
en,ovos-skill-hello-world.openvoiceos:Greetings.intent,hello what are you up to
en,ocp:play,search and play the best of mike eden songs
en,ocp:play,sing to me
en,ocp:play,put a record on
en,ocp:play,play top ten
en,ocp:play,play that last song
en,ocp:play,get me some music
en,ocp:play,play some tunes
en,ocp:play,play walking list
en,ocp:play,open a song from the given list
en,ovos-skill-hello-world.openvoiceos:Greetings.intent,hello how are you today
en,ovos-skill-hello-world.openvoiceos:Greetings.intent,olly tell me my alarms
en,ocp:play,hey siri play me an automated playlist based on songs heard in gaana app this week
en,ocp:play,hey olly play me an automated playlist based on songs heard in gaana app this week
en,ocp:play,hi play me playlist of a r. rehman songs released current year
en,ocp:play,play my favorite music
en,ocp:play,search for classical music and play
en,ocp:play,tune song of ddlj movie
en,ocp:play,play music of david guetta
en,ocp:play,can you open beatles
en,ocp:play,please play help
en,ovos-skill-hello-world.openvoiceos:Greetings.intent,hello how are you
en,ocp:play,play me some jazz
en,ocp:play,please play jazz music
en,ocp:play,play me some from the
en,ocp:play,i want to listen to elton john in a live concert
en,ocp:play,i'dl like to hear any classical except for bach or schubert
en,ocp:play,i'd like to hear any classical except for bach or schubert
en,ocp:play,play me this year's top ten k. pop songs
en,ocp:play,play the last played playlist
en,ocp:play,play anything by cat stevens and i'll be happy
en,ocp:play,strings and pianos but only acoustical guitar not electric please
en,ocp:play,put summer lovin in third position in my queue
en,ocp:play,play new pop music
en,ocp:play,play the latest pop song
en,ocp:play,play jazz music
en,ocp:play,i want to listen to classic rock
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,share me a joke
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,tell me a joke about birds
en,ocp:play,play hungry eyes
en,ocp:play,i want to hear play that funky music
en,ocp:play,i want to listen to electric slide
en,ocp:play,play get happy by ella fitzgerald
en,ocp:play,please play nakumukka song for me
en,ocp:play,change this song to the first place
en,ocp:play,please play are rahman music
en,ocp:play,can you play are rahman music
en,ocp:play,play some pop music
en,ocp:play,play new albums
en,ocp:play,play recently added music
en,ocp:play,start playing dubstep
en,ocp:play,play music from where you left off
en,ocp:play,play green day
en,ocp:play,play the electronic playlist
en,ocp:play,turn on my electronic playlist
en,ocp:play,initiate the music on the electronic playlist
en,ocp:play,play this song
en,ocp:play,put on a song by celine dion
en,ocp:play,initiate celine dion music
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,could you tell me funny things
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,say some jokes
en,ocp:play,play justin bieber on shuffle
en,ocp:play,play music that are classical only
en,ocp:play,find me all music for classical music
en,ocp:play,play only classical music
en,ocp:play,open the playlist
en,ocp:play,alexa play classic rock
en,ocp:play,position the top five most listened to songs on my playlist in a queue starting at most listened to
en,ocp:play,play a mi song of rap and rock one after the other
en,ocp:play,play music by a. c. d. c.
en,ocp:play,after this song put on metallica
en,ocp:play,next i want to hear shinedown
en,ocp:play,open spotify and play list five
en,ocp:play,open playlist five
en,ocp:play,play list five
en,ocp:play,play music by korn
en,ocp:play,play rock playlist
en,ocp:play,play the celine dion song from the titanic movie
en,ocp:play,shuffle play my slow songs play list from spotify
en,ocp:play,play my favorite music right now
en,ocp:play,play new rihanna song
en,ocp:play,play all songs by metallica on shuffle
en,ocp:play,play the fifty songs i listen to most often
en,ocp:play,replay the song
en,ocp:play,play hip hop playlist
en,ocp:play,play country playlist
en,ocp:play,play some lady gaga
en,ocp:play,play a jimi hendri best song
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,olly i need a funny joke to tell sam
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,i need a funny joke to tell sam
en,ocp:play,play rock music
en,ocp:play,play rock music please
en,ocp:play,play purple haze
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,do you know any good jokes
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,find the joke about the orange and the banana
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,i need to find a funny joke that is ok for kids
en,ocp:play,start playing music
en,ocp:play,play selected music
en,ocp:play,play jazz music now
en,ocp:play,start playing jazz music
en,ocp:play,please find music by afi
en,ocp:play,please play anything by afi
en,ocp:play,play something by the used
en,ocp:play,can you find the newest song from mgk
en,ocp:play,hey play crazy by britney spears
en,ocp:play,put crazy by britney spears on
en,ocp:play,play britney spears crazy
en,ocp:play,play song over the rainbow
en,ocp:play,play over the rainbow
en,ocp:play,please play rap music
en,ocp:play,please play rock music
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,make me happy
en,ocp:play,would you play some music please
en,ocp:play,play led zeppelin houses of the holy
en,ocp:play,play c. d. led zeppelin houses of the holy
en,ocp:play,music led zeppelin houses of the holy
en,ocp:play,after this song play atmosphere
en,ocp:play,alexa play my country playlist
en,ocp:play,alexa play my second playlist
en,ocp:play,play my most recent playlist
en,ocp:play,alexa play my most recent playlist
en,ocp:play,play my shazaam playlist on the spotify app
en,ocp:play,play my workout playlist
en,ovos-skill-hello-world.openvoiceos:Greetings.intent,hey what's today
en,ocp:play,play music relating to the music i listened to this morning
en,ocp:play,alexa play music relating to the music i listened to this morning
en,ocp:play,play music that i like
en,ocp:play,please play all songs by bruno mars
en,ocp:play,play joy division
en,ocp:play,play two thousand one hundred and twelve by rush
en,ocp:play,please play any joy division album
en,ocp:play,continue to next song please
en,ocp:play,play all by the beatles
en,ocp:play,please play music
en,ocp:play,play skyfall next
en,ocp:play,add gold digger to queue
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,let me hear a joke
en,ocp:play,play a song
en,ocp:play,play me a random song
en,ocp:play,play some rock music
en,ocp:play,play my rap playlist
en,ocp:play,find me a good pop song
en,ocp:play,play firework by katy perry
en,ocp:play,i am really feeling depressed right now can you please play my most played songs to cheer me up
en,ocp:play,i just love adele please play my most played songs of her after this track
en,ocp:play,play david bowie playlist
en,ocp:play,play david bowie
en,ocp:play,play classical music
en,ocp:play,play classical music playlist
en,ocp:play,play that song next
en,ocp:play,play my motivational playlist
en,ocp:play,play my rock music playlist
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,tell me a joke about lawyers
en,ocp:play,play my favorite playlist
en,ocp:play,play the playlist we were listening last night
en,ocp:play,access pop playlist
en,ocp:play,i'd like to listen to poker face by lady gaga
en,ocp:play,start song one
en,ocp:play,i want to here song one
en,ocp:play,look for song two and play it
en,ocp:play,i want to listen song one
en,ocp:play,please play c. n. n.
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,i need to hear a joke can you tell me one
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,a priest walks into a bar
en,ocp:play,play a rai music
en,ocp:play,play music from party playlist
en,ocp:play,play jack johnson playlist music
en,ocp:play,play top twenty five hits
en,ocp:play,play latest country music releases
en,ocp:play,list and play all songs by given artist
en,ocp:play,play best hits from given artist
en,ocp:play,start playing my song list
en,ocp:play,play songs by the beatles please
en,ocp:play,let's play that song again
en,ocp:play,play only songs by the beatles please
en,ocp:play,select rai music file
en,ocp:play,go to rap list
en,ocp:play,time to workout
en,ocp:play,play a party music list
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,the joke of the day
en,ocp:play,can you play magic by bruno mars
en,ocp:play,i would like to hear heathens by twenty one pilots
en,ocp:play,please play classical music
en,ocp:play,play metallica on shuffle
en,ocp:play,please play workout playlist
en,ocp:play,i want to hear study playlist
en,ocp:play,play my yoga playlist
en,ocp:play,skip to the next song
en,ocp:play,switch to my workout playlist
en,ovos-skill-hello-world.openvoiceos:Greetings.intent,how is everything
en,ocp:play,google i wanted to hear my country music playlist
en,ocp:play,play be warned by tech nine
en,ocp:play,olly play be warned by tech nine
en,ocp:play,i want you to put on be warned by tech nine
en,ocp:play,put on be warned by tech nine
en,ocp:play,play music by that artist
en,ocp:play,take me to more music by that artist
en,ocp:play,please play some lady gaga
en,ocp:play,please play me my latin music playlist
en,ocp:play,i would like to listen to some rap music right now
en,ocp:play,please repeat the last sentence from that book
en,ocp:play,it's too quiet in here
en,ocp:play,make some noise
en,ocp:play,google find and play florida georgia line the one with nelly
en,ocp:play,i want to hear i got you babe by sonny and cher can you play that
en,ocp:play,play jingle bells next
en,ocp:play,make happy birthday the next song
en,ocp:play,play me some pop
en,ocp:play,play spotify playlist blank
en,ocp:play,i would love to hear the playlist i created for my wedding
en,ocp:play,select the r. & b. playlist from the nineties please
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,tell a joke that puts smile on my face
en,ocp:play,play next song on track
en,ocp:play,play first song on next album
en,ocp:play,play my first favorite song on loop
en,ocp:play,i want to hear some rap please
en,ocp:play,turn on some rap music
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,i want to hear a yo mama joke
en,ocp:play,play all my favorite latin songs
en,ocp:play,find me eighties music
en,ocp:play,i want to hear current dance hits
en,ocp:play,please turn on the music player
en,ocp:play,let's listen to a playlist
en,ocp:play,start the satellite music feed
en,ocp:play,please start the playlist huey lewis and the news
en,ocp:play,i want to play rock songs by ozzy osbourne
en,ocp:play,i'd like to hear folk songs from one thousand nine hundred and sixty eight
en,ocp:play,start my favorite music
en,ocp:play,i want to listen to the beatles greatest hits
en,ocp:play,please play any music created in the decade
en,ocp:play,play my country music playlist
en,ocp:play,play electronic dance music after this one
en,ocp:play,start my folk song list right after this song
en,ocp:play,play me taylor swift's newest song
en,ocp:play,can you play katy perry
en,ocp:play,play huey lewis
en,ocp:play,search for all titles for huey lewis and play
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,make me laugh i want to hear a joke
en,ocp:play,play hurt by johnny cash next
en,ocp:play,please turn on my spotify playlist
en,ocp:play,play nineties alternative
en,ocp:play,alexa play pandora nineties dance party
en,ocp:play,what are todays country hits
en,ocp:play,play forty six and two by tool
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,please tell me a joke
en,ocp:play,can you play emo music please
en,ocp:play,play my top twenty playlist
en,ocp:play,i haven't been hearing any king crimson please add their first seven albums
en,ocp:play,play this playlist
en,ocp:play,please start playing my youtube playlist
en,ocp:play,play song every time i see you
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,hey olly have you heard any funny jokes lately
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,hey siri have you heard any funny jokes lately
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,hey olly make me laugh with a good joke
en,ocp:play,play last christmas by george michael
en,ocp:play,play the list from my favorites
en,ocp:play,repeat the next song
en,ocp:play,play clarity by zedd
en,ocp:play,turn on my playlist of country music
en,ocp:play,play sleepyhead by passion pit
en,ocp:play,play my favorite song by london grammar
en,ocp:play,play repeats please
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,have you heard any good jokes lately
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,how many jokes do you know
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,do you have a joke
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,tell me a joke please
en,ocp:play,play a song from my favorites
en,ocp:play,please play britney spears
en,ocp:play,i would like to listen to
en,ocp:play,find some classical music by beethoven and play it
en,ocp:play,play major tom by david bowie
en,ocp:play,play the david bowie song major tom
en,ocp:play,play mocking bird by eminem
en,ocp:play,play i am a survivor by destiny's child
en,ocp:play,play pop songs
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,any funny jokes
en,ocp:play,my this song for me
en,ocp:play,i want to hear my favorite song
en,ocp:play,play my best song
en,ocp:play,closer by nine inch nails
en,ocp:play,start playing bag of hammers
en,ocp:play,stop the music
en,ocp:play,shuffle my workout playlist
en,ocp:play,find some rock
en,ocp:play,play my workout playlist in spotify
en,ocp:play,play some music from metal genre
en,ocp:play,play song number
en,ocp:play,after this one play song
en,ocp:play,play back in black
en,ocp:play,play songs related to a. c. d. c.
en,ocp:play,play my most played playlist
en,ocp:play,start the dog walking playlist
en,ocp:play,play playlist postal service
en,ocp:play,alexa play my favorites
en,ocp:play,play a selection of classical music
en,ocp:play,play some classic rock before i lose my mind
en,ocp:play,i'd like to hear some motown
en,ocp:play,can you drop a beat for me
en,ocp:play,i would love to hear more songs by that artist
en,ocp:play,play pop music
en,ocp:play,i want to hear unk song unk
en,ocp:play,i want to hear song
en,ocp:play,please play the following song
en,ocp:play,can you play music by pink floyd
en,ocp:play,can you play a song by aerosmith
en,ocp:play,can you play my music
en,ocp:play,play my music
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,what is your best joke
en,ocp:play,i want to hear my playlist from that artist
en,ocp:play,play my downloaded music
en,ocp:play,play hula hoop next
en,ocp:play,put william it's my birthday in next
en,ocp:play,can you play me some skramz
en,ocp:play,i would like to listen to some down tempo
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,i want to listen to a joke
en,ovos-skill-hello-world.openvoiceos:Greetings.intent,hi olly how are you
en,ovos-skill-hello-world.openvoiceos:Greetings.intent,hi how are you
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,i need a good joke
en,ocp:play,play billy joel
en,ocp:play,initiate classical music
en,ocp:play,rock with rock star
en,ocp:play,play music from playlist
en,ocp:play,search and play workout playlist
en,ocp:play,play new songs by barenaked ladies
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,what about this joke
en,ocp:play,play workout playlist
en,ocp:play,play latest songs for me from the net
en,ocp:play,play blackeyed pees song
en,ocp:play,pull up my party playlist
en,ocp:play,go to my classical playlist
en,ocp:play,i want to hear my rap playlist
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,tell me a joke about chickens
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,please tell me a joke that i'll think is funny
en,ocp:play,play all third day
en,common_query:common_query,tell me about martin luther king junior
en,ocp:play,play you are my sunshine
en,ocp:play,play children's music
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,what is a funny joke
en,ocp:play,play bus driver
en,ocp:play,after this song please play this song
en,ocp:play,play true love next
en,ocp:play,play my recently downloaded songs
en,ocp:play,play my itunes music
en,ocp:play,jazz could be choice for me
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,tell me a joke about dogs
en,ocp:play,play some soft jazz
en,ocp:play,play thinking out loud now
en,ocp:play,start playing thinking out loud now
en,ocp:play,play a rap song
en,ocp:play,nobody knows by pink
en,ocp:play,pink nobody knows
en,ocp:play,play playlist one
en,ocp:play,play recently added songs
en,ocp:play,start my favorites playlist
en,ocp:play,turn on surfin u. s. a.
en,ocp:play,i want to hear surfin u. s. a.
en,ocp:play,i want to listen to classical music
en,ocp:play,play a jazz music
en,ocp:play,i like to listen to hindustani music
en,common_query:common_query,who was appointed as deputy centimeter of uttar pradesh
en,ocp:play,open media player and play my gym playlist
en,ocp:play,please play music from my playlist
en,ocp:play,start playing kids by mgmt
en,ocp:play,play song all the small things
en,ocp:play,play musical theater soundtracks
en,ocp:play,please play my pop playlist
en,ocp:play,hey olly play the songs from my playlist named good tunes
en,ocp:play,hey olly play playlist tactics from music
en,ocp:play,please find me music
en,ocp:play,play something random from google play
en,ocp:play,bring up my last playlist from tidal
en,ocp:play,turn on music by seal
en,ocp:play,turn on bjork
en,ocp:play,play the bjork album i've heard the least
en,ocp:play,start up a bjork album for me
en,ocp:play,i want to hear that song
en,ocp:play,play titanic title song
en,ocp:play,play the song doggy style in continuous mode
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,provide a joke
en,ocp:play,today feels like hard rock
en,ocp:play,please play the broods
en,ocp:play,assistant please play royksopp running to the sea
en,ocp:play,play firefly by mura masa
en,ocp:play,play mp playlist from start
en,ocp:play,play this song on twelve am
en,ocp:play,play for me music by madonna
en,ocp:play,play song by frubs artist
en,ocp:play,play all songs from blue genre
en,ocp:play,shuffle and play songs from dance genre
en,ocp:play,open and play music from jazz genre
en,ocp:play,play for me the music by michael jackson
en,ocp:play,play for me the music by madonna
en,ocp:play,play for me hip hop music
en,ocp:play,play for me jazz music
en,ocp:play,play hip hop songs
en,ocp:play,play me all jazz music
en,ocp:play,play item one
en,ocp:play,start my play list
en,ocp:play,play my favorite songs
en,ocp:play,please play my top music playlist
en,ocp:play,let me listen to my top rock songs playlist
en,ocp:play,start my movies soundtrack list
en,ocp:play,play the song which is in movie rangoon
en,ocp:play,put the song in order of singer first arijit singh song then sukhwinder then sunidhi
en,ocp:play,please play me the michael jackson song again
en,ocp:play,a step by step guide for how to save music
en,ocp:play,play from favorites song
en,ocp:play,siri can you play my favorite music
en,ocp:play,alexa can you play my favorite music
en,ocp:play,play some blues by atif aslam
en,ocp:play,i want to dance to the tune of raghu dixit
en,ocp:play,put in next queue badra bahar by amit trivedi
en,ocp:play,next i want to listen i really like you
en,ocp:play,play sword art opening
en,ocp:play,play one love
en,ocp:play,play sufi songs
en,ocp:play,play billie jean next
en,ocp:play,repeat earth song
en,ocp:play,play soft instrumental songs
en,ocp:play,play human nature of michael jackson
en,ocp:play,play funk music
en,ocp:play,i want to hear my favorite jazz music genre
en,ocp:play,play some carnatic songs
en,ocp:play,let me hear about some new devotional music
en,ocp:play,let me hear my number one favorite play list
en,ocp:play,from my play list filter devotional songs and play right now for me
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,tell me some funny joke to laugh
en,ocp:play,could you play this song love for me please
en,ocp:play,please play the song smile for me
en,ocp:play,play bohemian raphsody for me
en,ocp:play,put on the next song in five minutes
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,what's the latest joke
en,ocp:play,play best hits
en,ocp:play,play next song of my selected
en,ocp:play,play the first playlist
en,ocp:play,play rap songs
en,ocp:play,i would like to hear some blues
en,ocp:play,i am in the mood for some classical music
en,ocp:play,could you play you don't bring me flowers
en,ocp:play,play playlist workout
en,ocp:play,que song let it burn
en,ocp:play,hey olly play me a popular hip hop song
en,ocp:play,hey play me a popular r. & b. song
en,ocp:play,play maroon five moves like jagger
en,ocp:play,play marvin gaye i want you
en,ocp:play,play jumper by third eye blind
en,ocp:play,olly turn on any song by tupac
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,find jokes on the web
en,ocp:play,play hip hop music
